epoch: 0, Train Loss: 2.026901, Train Acc: 0.182353, Eval Loss: 1.961236, Eval Acc: 0.275514, PSNR: 1.300320
epoch: 1, Train Loss: 1.907429, Train Acc: 0.346299, Eval Loss: 1.836264, Eval Acc: 0.435819, PSNR: 0.826607
epoch: 2, Train Loss: 1.780508, Train Acc: 0.473497, Eval Loss: 1.704980, Eval Acc: 0.524229, PSNR: 2.078429
epoch: 3, Train Loss: 1.651039, Train Acc: 0.541828, Eval Loss: 1.576982, Eval Acc: 0.578916, PSNR: 3.096377
epoch: 4, Train Loss: 1.531193, Train Acc: 0.589036, Eval Loss: 1.463892, Eval Acc: 0.611650, PSNR: 2.292651
epoch: 5, Train Loss: 1.428061, Train Acc: 0.618553, Eval Loss: 1.368687, Eval Acc: 0.634593, PSNR: 2.500655
epoch: 6, Train Loss: 1.341550, Train Acc: 0.640858, Eval Loss: 1.289321, Eval Acc: 0.654173, PSNR: 3.063429
epoch: 7, Train Loss: 1.269196, Train Acc: 0.656433, Eval Loss: 1.222991, Eval Acc: 0.667820, PSNR: 3.567788
epoch: 8, Train Loss: 1.209278, Train Acc: 0.668660, Eval Loss: 1.168608, Eval Acc: 0.679490, PSNR: 4.750904
epoch: 9, Train Loss: 1.157275, Train Acc: 0.683219, Eval Loss: 1.119982, Eval Acc: 0.692247, PSNR: 3.866199
epoch: 10, Train Loss: 1.113631, Train Acc: 0.692681, Eval Loss: 1.079034, Eval Acc: 0.697884, PSNR: 4.823395
epoch: 11, Train Loss: 1.075073, Train Acc: 0.698994, Eval Loss: 1.043098, Eval Acc: 0.703916, PSNR: 4.370530
epoch: 12, Train Loss: 1.041509, Train Acc: 0.706573, Eval Loss: 1.011679, Eval Acc: 0.713805, PSNR: 4.769633
epoch: 13, Train Loss: 1.012656, Train Acc: 0.711987, Eval Loss: 0.984417, Eval Acc: 0.719442, PSNR: 4.200046
epoch: 14, Train Loss: 0.986754, Train Acc: 0.717667, Eval Loss: 0.958990, Eval Acc: 0.722310, PSNR: 4.460904
epoch: 15, Train Loss: 0.963694, Train Acc: 0.722148, Eval Loss: 0.938354, Eval Acc: 0.728837, PSNR: 4.812659
epoch: 16, Train Loss: 0.942667, Train Acc: 0.726979, Eval Loss: 0.917668, Eval Acc: 0.729233, PSNR: 5.441668
epoch: 17, Train Loss: 0.924220, Train Acc: 0.730694, Eval Loss: 0.899869, Eval Acc: 0.738924, PSNR: 4.843746
epoch: 18, Train Loss: 0.906488, Train Acc: 0.735141, Eval Loss: 0.883851, Eval Acc: 0.738528, PSNR: 5.110721
epoch: 19, Train Loss: 0.891146, Train Acc: 0.738473, Eval Loss: 0.868430, Eval Acc: 0.744066, PSNR: 5.923372
epoch: 20, Train Loss: 0.876986, Train Acc: 0.742337, Eval Loss: 0.855399, Eval Acc: 0.746242, PSNR: 5.266967
epoch: 21, Train Loss: 0.863150, Train Acc: 0.743104, Eval Loss: 0.841775, Eval Acc: 0.749407, PSNR: 5.779904
epoch: 22, Train Loss: 0.851174, Train Acc: 0.747102, Eval Loss: 0.830357, Eval Acc: 0.750297, PSNR: 4.991646
epoch: 23, Train Loss: 0.839484, Train Acc: 0.749200, Eval Loss: 0.819745, Eval Acc: 0.751384, PSNR: 5.365881
epoch: 24, Train Loss: 0.828149, Train Acc: 0.752399, Eval Loss: 0.807880, Eval Acc: 0.755934, PSNR: 6.159239
epoch: 25, Train Loss: 0.818516, Train Acc: 0.753848, Eval Loss: 0.798316, Eval Acc: 0.760087, PSNR: 6.173172
epoch: 26, Train Loss: 0.808932, Train Acc: 0.755680, Eval Loss: 0.789902, Eval Acc: 0.761570, PSNR: 6.000539
epoch: 27, Train Loss: 0.800763, Train Acc: 0.757146, Eval Loss: 0.779728, Eval Acc: 0.763548, PSNR: 7.619401
epoch: 28, Train Loss: 0.791880, Train Acc: 0.759328, Eval Loss: 0.774342, Eval Acc: 0.764142, PSNR: 6.217797
epoch: 29, Train Loss: 0.784469, Train Acc: 0.759412, Eval Loss: 0.764077, Eval Acc: 0.767801, PSNR: 7.037879
epoch: 30, Train Loss: 0.776652, Train Acc: 0.763376, Eval Loss: 0.757643, Eval Acc: 0.765131, PSNR: 6.606024
epoch: 31, Train Loss: 0.769949, Train Acc: 0.762510, Eval Loss: 0.751450, Eval Acc: 0.769778, PSNR: 6.597576
epoch: 32, Train Loss: 0.763290, Train Acc: 0.765142, Eval Loss: 0.743981, Eval Acc: 0.771559, PSNR: 6.844929
epoch: 33, Train Loss: 0.757181, Train Acc: 0.765708, Eval Loss: 0.737272, Eval Acc: 0.774525, PSNR: 6.376956
epoch: 34, Train Loss: 0.751358, Train Acc: 0.768473, Eval Loss: 0.732586, Eval Acc: 0.773635, PSNR: 6.254144
epoch: 35, Train Loss: 0.745102, Train Acc: 0.770139, Eval Loss: 0.726920, Eval Acc: 0.775811, PSNR: 6.503178
epoch: 36, Train Loss: 0.739157, Train Acc: 0.769806, Eval Loss: 0.719325, Eval Acc: 0.775514, PSNR: 7.435896
epoch: 37, Train Loss: 0.734132, Train Acc: 0.771005, Eval Loss: 0.717861, Eval Acc: 0.775613, PSNR: 6.913658
epoch: 38, Train Loss: 0.729846, Train Acc: 0.772471, Eval Loss: 0.713374, Eval Acc: 0.776108, PSNR: 6.934572
epoch: 39, Train Loss: 0.724337, Train Acc: 0.773921, Eval Loss: 0.706166, Eval Acc: 0.778382, PSNR: 7.654682
epoch: 40, Train Loss: 0.719780, Train Acc: 0.774320, Eval Loss: 0.702945, Eval Acc: 0.781448, PSNR: 7.348821
epoch: 41, Train Loss: 0.715374, Train Acc: 0.775420, Eval Loss: 0.697936, Eval Acc: 0.780657, PSNR: 6.559004
epoch: 42, Train Loss: 0.711284, Train Acc: 0.775703, Eval Loss: 0.693782, Eval Acc: 0.785898, PSNR: 7.259025
epoch: 43, Train Loss: 0.706795, Train Acc: 0.776553, Eval Loss: 0.689799, Eval Acc: 0.783920, PSNR: 7.364592
epoch: 44, Train Loss: 0.703883, Train Acc: 0.777752, Eval Loss: 0.684637, Eval Acc: 0.785305, PSNR: 7.146401
epoch: 45, Train Loss: 0.699620, Train Acc: 0.778885, Eval Loss: 0.680565, Eval Acc: 0.786294, PSNR: 6.889287
epoch: 46, Train Loss: 0.695462, Train Acc: 0.779434, Eval Loss: 0.679392, Eval Acc: 0.784415, PSNR: 7.683272
epoch: 47, Train Loss: 0.692160, Train Acc: 0.780917, Eval Loss: 0.674657, Eval Acc: 0.787579, PSNR: 7.964120
epoch: 48, Train Loss: 0.689047, Train Acc: 0.781267, Eval Loss: 0.670710, Eval Acc: 0.788271, PSNR: 8.066799
epoch: 49, Train Loss: 0.685436, Train Acc: 0.780917, Eval Loss: 0.668895, Eval Acc: 0.785206, PSNR: 7.873368
epoch: 50, Train Loss: 0.682666, Train Acc: 0.782783, Eval Loss: 0.665809, Eval Acc: 0.791930, PSNR: 7.270962
epoch: 51, Train Loss: 0.679113, Train Acc: 0.783465, Eval Loss: 0.662603, Eval Acc: 0.789656, PSNR: 7.534321
epoch: 52, Train Loss: 0.676822, Train Acc: 0.784482, Eval Loss: 0.656372, Eval Acc: 0.790150, PSNR: 8.393096
epoch: 53, Train Loss: 0.672781, Train Acc: 0.785248, Eval Loss: 0.655686, Eval Acc: 0.792623, PSNR: 8.050361
epoch: 54, Train Loss: 0.670795, Train Acc: 0.784748, Eval Loss: 0.651732, Eval Acc: 0.796677, PSNR: 9.200989
epoch: 55, Train Loss: 0.667668, Train Acc: 0.786730, Eval Loss: 0.648227, Eval Acc: 0.791831, PSNR: 7.406167
epoch: 56, Train Loss: 0.665069, Train Acc: 0.786797, Eval Loss: 0.647867, Eval Acc: 0.794502, PSNR: 6.880095
