Training Start
Compression Rate: 0.8
SNR Value: 3
"epoch: 0, Train Loss: 0.962778, Train Acc: 0.290578, Eval Loss: 0.803119, Eval Acc: 0.503461, PSNR: 4.119241"
"epoch: 1, Train Loss: 0.691078, Train Acc: 0.614306, Eval Loss: 0.598353, Eval Acc: 0.688192, PSNR: 5.360894"
"epoch: 2, Train Loss: 0.541399, Train Acc: 0.715951, Eval Loss: 0.490027, Eval Acc: 0.735759, PSNR: 6.441445"
"epoch: 3, Train Loss: 0.458085, Train Acc: 0.754298, Eval Loss: 0.426315, Eval Acc: 0.764438, PSNR: 7.377902"
"epoch: 4, Train Loss: 0.407570, Train Acc: 0.775203, Eval Loss: 0.386434, Eval Acc: 0.785502, PSNR: 7.163969"
"epoch: 5, Train Loss: 0.375139, Train Acc: 0.789496, Eval Loss: 0.359825, Eval Acc: 0.796578, PSNR: 8.713679"
"epoch: 6, Train Loss: 0.352777, Train Acc: 0.800356, Eval Loss: 0.341669, Eval Acc: 0.804589, PSNR: 9.707210"
"epoch: 7, Train Loss: 0.337012, Train Acc: 0.807636, Eval Loss: 0.327681, Eval Acc: 0.813884, PSNR: 8.577674"
"epoch: 8, Train Loss: 0.325177, Train Acc: 0.814732, Eval Loss: 0.317747, Eval Acc: 0.819422, PSNR: 7.301115"
"epoch: 9, Train Loss: 0.315848, Train Acc: 0.819213, Eval Loss: 0.309220, Eval Acc: 0.822290, PSNR: 11.009215"
"epoch: 10, Train Loss: 0.308031, Train Acc: 0.824943, Eval Loss: 0.301729, Eval Acc: 0.830004, PSNR: 10.431965"
"epoch: 11, Train Loss: 0.301669, Train Acc: 0.828558, Eval Loss: 0.295976, Eval Acc: 0.831487, PSNR: 9.666784"
"epoch: 12, Train Loss: 0.296190, Train Acc: 0.831606, Eval Loss: 0.290853, Eval Acc: 0.837816, PSNR: 10.219841"
"epoch: 13, Train Loss: 0.291278, Train Acc: 0.834305, Eval Loss: 0.286026, Eval Acc: 0.840585, PSNR: 10.862439"
"epoch: 14, Train Loss: 0.287107, Train Acc: 0.837537, Eval Loss: 0.282266, Eval Acc: 0.841179, PSNR: 11.455577"
"epoch: 15, Train Loss: 0.283151, Train Acc: 0.840335, Eval Loss: 0.278828, Eval Acc: 0.842761, PSNR: 12.307174"
"epoch: 16, Train Loss: 0.279707, Train Acc: 0.842984, Eval Loss: 0.275071, Eval Acc: 0.848497, PSNR: 11.010359"
"epoch: 17, Train Loss: 0.276560, Train Acc: 0.844666, Eval Loss: 0.271724, Eval Acc: 0.850475, PSNR: 11.167277"
"epoch: 18, Train Loss: 0.273494, Train Acc: 0.846565, Eval Loss: 0.269270, Eval Acc: 0.854134, PSNR: 10.605936"
"epoch: 19, Train Loss: 0.270792, Train Acc: 0.848681, Eval Loss: 0.266439, Eval Acc: 0.852453, PSNR: 12.984014"
"epoch: 20, Train Loss: 0.268135, Train Acc: 0.850513, Eval Loss: 0.263924, Eval Acc: 0.852848, PSNR: 13.242300"
"epoch: 21, Train Loss: 0.265704, Train Acc: 0.852162, Eval Loss: 0.261531, Eval Acc: 0.853639, PSNR: 12.614887"
"epoch: 22, Train Loss: 0.263355, Train Acc: 0.852729, Eval Loss: 0.258898, Eval Acc: 0.860463, PSNR: 12.581290"
"epoch: 23, Train Loss: 0.261148, Train Acc: 0.854278, Eval Loss: 0.257225, Eval Acc: 0.858386, PSNR: 11.745362"
"epoch: 24, Train Loss: 0.259109, Train Acc: 0.855377, Eval Loss: 0.254767, Eval Acc: 0.859672, PSNR: 12.866012"
"epoch: 25, Train Loss: 0.257224, Train Acc: 0.856443, Eval Loss: 0.253035, Eval Acc: 0.860759, PSNR: 10.965497"
"epoch: 26, Train Loss: 0.255374, Train Acc: 0.857343, Eval Loss: 0.251413, Eval Acc: 0.861551, PSNR: 11.528202"
"epoch: 27, Train Loss: 0.253520, Train Acc: 0.858176, Eval Loss: 0.249480, Eval Acc: 0.861155, PSNR: 12.151221"
"epoch: 28, Train Loss: 0.251843, Train Acc: 0.858875, Eval Loss: 0.248104, Eval Acc: 0.863331, PSNR: 12.270811"
"epoch: 29, Train Loss: 0.250182, Train Acc: 0.859991, Eval Loss: 0.246371, Eval Acc: 0.861946, PSNR: 12.567363"
"epoch: 30, Train Loss: 0.248470, Train Acc: 0.860908, Eval Loss: 0.244732, Eval Acc: 0.864814, PSNR: 13.559943"
"epoch: 31, Train Loss: 0.247116, Train Acc: 0.861041, Eval Loss: 0.242993, Eval Acc: 0.867484, PSNR: 11.596074"
"epoch: 32, Train Loss: 0.245489, Train Acc: 0.863223, Eval Loss: 0.241621, Eval Acc: 0.867781, PSNR: 12.806298"
"epoch: 33, Train Loss: 0.244206, Train Acc: 0.862473, Eval Loss: 0.240299, Eval Acc: 0.870154, PSNR: 13.640121"
"epoch: 34, Train Loss: 0.242851, Train Acc: 0.863140, Eval Loss: 0.239155, Eval Acc: 0.868275, PSNR: 12.602927"
"epoch: 35, Train Loss: 0.241573, Train Acc: 0.863906, Eval Loss: 0.237568, Eval Acc: 0.868671, PSNR: 11.753302"
"epoch: 36, Train Loss: 0.240269, Train Acc: 0.866221, Eval Loss: 0.236442, Eval Acc: 0.868078, PSNR: 12.933971"
"epoch: 37, Train Loss: 0.238942, Train Acc: 0.865588, Eval Loss: 0.235191, Eval Acc: 0.869858, PSNR: 14.099605"
"epoch: 38, Train Loss: 0.237707, Train Acc: 0.866954, Eval Loss: 0.233859, Eval Acc: 0.870748, PSNR: 12.911919"
"epoch: 39, Train Loss: 0.236564, Train Acc: 0.866788, Eval Loss: 0.232864, Eval Acc: 0.871044, PSNR: 14.532978"
"epoch: 40, Train Loss: 0.235452, Train Acc: 0.868087, Eval Loss: 0.231772, Eval Acc: 0.872132, PSNR: 14.130724"
"epoch: 41, Train Loss: 0.234364, Train Acc: 0.868370, Eval Loss: 0.230527, Eval Acc: 0.871835, PSNR: 13.541929"
"epoch: 42, Train Loss: 0.233249, Train Acc: 0.868837, Eval Loss: 0.229554, Eval Acc: 0.872330, PSNR: 13.712698"
"epoch: 43, Train Loss: 0.232082, Train Acc: 0.869286, Eval Loss: 0.228790, Eval Acc: 0.871638, PSNR: 12.777751"
"epoch: 44, Train Loss: 0.231074, Train Acc: 0.869703, Eval Loss: 0.227462, Eval Acc: 0.874901, PSNR: 15.061189"
"epoch: 45, Train Loss: 0.230011, Train Acc: 0.870203, Eval Loss: 0.226619, Eval Acc: 0.873220, PSNR: 15.367663"
